股票代码,预测收益率前25%,预测收益率不是前25%,实际收益率,,
index,top_ratio_code,tail_ratio_code,profit,错分数：185 +8 = 193,
2,1,0,0.283674551,正确率：,0.866158114
63,1,0,0.346448313,,
333,1,0,0.256489753,,
418,1,0,0.418266624,,
513,1,0,0.320911227,,
596,1,0,0.175318095,,
651,1,0,0.24066934,,
799,1,0,-0.063752497,,
830,1,0,0.965951274,,
2061,1,0,0.170467102,,
2188,1,0,-0.69117367,,
2405,1,0,0.027830992,,
2410,1,0,0.192482874,,
2840,1,0,0.460708424,,
300009,1,0,0.437096988,,
300176,1,0,0.680427739,,
300298,1,0,0.093435291,,
300308,1,0,0.583290577,,
300357,1,0,0.332209049,,
300567,1,0,0.381667958,,
300584,1,0,0.43786417,,
300601,1,0,0.58783398,,
300607,1,0,0.062702568,,
300618,1,0,0.892245026,,
300633,1,0,0.20737705,,
300639,1,0,0.213765964,,
600036,1,0,0.153846012,,
600062,1,0,0.110156652,,
600196,1,0,0.282141519,,
600201,1,0,0.103450301,,
600436,1,0,0.422445329,,
600566,1,0,0.225786323,,
600600,1,0,0.314276364,,
600695,1,0,0.345040983,,
600702,1,0,0.150475517,,
600703,1,0,0.078133817,,
600754,1,0,0.185280369,,
600801,1,0,0.101189723,,
600809,1,0,0.236488855,,
601088,1,0,0.006826519,,
601225,1,0,0.032064803,,
601398,1,0,0.101453413,,
601939,1,0,0.169165319,,
603288,1,0,0.344186428,,
603589,1,0,0.073266979,,
603799,1,0,0.367849772,,
603638,0.99,0,0.183494289,,
603369,0.98,0,0.14021645,,
2035,0.97,0,0.157571284,,
300396,0.97,0,0.127929878,,
300600,0.96,0,-0.179693245,,
2773,0.95,0,0.006491933,,
2838,0.93,0,0.159499657,,
600516,0.93,0,0.060469933,,
600521,0.92,0,0.387743018,,
603881,0.92,0,-0.133783669,,
603939,0.91,0,0.432618977,,
2019,0.9,0,0.013235828,,
600887,0.9,0,0.241182226,,
601155,0.88,0,0.853781253,,
603337,0.88,0,0.241174068,,
601318,0.87,0,0.204320031,,
2222,0.86,0,-0.013725513,,
2812,0.86,0,0.003809523,,
2179,0.85,0,0.096888577,,
2677,0.85,0,0.146023739,,
601100,0.84,0,0.569752328,,
603360,0.84,0,-0.208819889,,
408,0.83,0,0.047333543,,
2271,0.83,0,0.079746879,,
2415,0.83,0,0.222309795,,
2440,0.83,0,0.184618285,,
300137,0.82,0,-0.184130157,,
600507,0.82,0,0.231075841,,
600816,0.79,0,-0.100631065,,
601877,0.79,0,0.211743496,,
603993,0.77,0,0.1430986,,
2439,0.76,0,0.11187817,,
300587,0.76,0,-0.146348596,,
600176,0.74,0,0.390924291,,
910,0.73,0,-0.03890272,,
600486,0.72,0,0.254463822,,
2320,0.69,0,0.458932048,,
300347,0.69,0,0.583678656,,
603037,0.69,0,-0.212950938,,
300401,0.68,0,0.201832507,,
600622,0.68,0,-0.188882661,,
601233,0.68,0,0.551802188,,
1979,0.67,0,0.185880437,,
300124,0.67,0,0.14626326,,
600048,0.66,0,0.38007595,,
603660,0.66,0,-0.085735561,,
725,0.65,0,0.213322399,,
300316,0.65,0,0.339832148,,
600848,0.65,0,-0.03751437,,
603929,0.64,0,0.02212506,,
2626,0.63,0,0.218972322,,
300408,0.62,0,0.023750347,,
300474,0.62,0,0.221492546,,
